Time,City_Name,Healthy,Zombies,Dead,Civil,Military,Medics
1683570849.4039042,Zeidel Borough,363,4,38,329,21,13
1683570849.4039042,Gulans Town,380,3,0,352,16,12
1683570849.4039042,Nogales Village,396,3,0,368,20,8
1683570849.4049017,Albono Hills,180,2,0,171,6,3
1683570849.4049017,Mackers City,574,7,0,529,33,12
1683570849.524947,Albono Hills,180,2,0,171,6,3
1683570849.524947,Gulans Town,380,3,0,352,16,12
1683570849.5259469,Zeidel Borough,361,6,38,327,21,13
1683570849.5269442,Mackers City,573,8,0,529,32,12
1683570849.5319524,Nogales Village,396,3,0,368,20,8
1683570849.645257,Gulans Town,379,4,0,352,15,12
1683570849.645257,Mackers City,572,9,0,528,32,12
1683570849.6483865,Albono Hills,180,2,0,171,6,3
1683570849.6492648,Nogales Village,396,3,0,368,20,8
1683570849.6502738,Zeidel Borough,360,7,38,326,21,13
1683570849.7678125,Mackers City,572,9,0,528,32,12
1683570849.7697942,Zeidel Borough,360,7,38,326,21,13
1683570849.7708046,Nogales Village,396,3,0,368,20,8
1683570849.771796,Albono Hills,179,3,0,170,6,3
1683570849.771796,Gulans Town,379,4,0,352,15,12
1683570849.8773034,Mackers City,572,9,0,528,32,12
1683570849.8917773,Albono Hills,179,3,0,170,6,3
1683570849.8927784,Zeidel Borough,358,9,38,324,21,13
1683570849.8937807,Gulans Town,379,4,0,352,15,12
1683570849.896771,Nogales Village,396,3,0,368,20,8
1683570849.985117,Mackers City,571,10,0,527,32,12
1683570850.0005147,Albono Hills,179,3,0,170,6,3
1683570850.0175145,Nogales Village,396,3,0,368,20,8
1683570850.0185137,Gulans Town,379,4,0,352,15,12
1683570850.0185137,Zeidel Borough,358,9,38,324,21,13
1683570850.0928097,Mackers City,571,10,0,527,32,12
1683570850.109792,Albono Hills,179,3,0,170,6,3
1683570850.140652,Gulans Town,379,4,0,352,15,12
1683570850.140652,Nogales Village,396,3,0,368,20,8
1683570850.1416576,Zeidel Borough,357,10,38,323,21,13
1683570850.2030442,Mackers City,571,10,0,527,32,12
1683570850.219039,Albono Hills,179,3,0,170,6,3
1683570850.2493942,Gulans Town,379,4,0,352,15,12
1683570850.2493942,Nogales Village,394,5,0,366,20,8
1683570850.2644367,Zeidel Borough,356,11,38,322,21,13
1683570850.312152,Mackers City,571,10,0,527,32,12
1683570850.326418,Albono Hills,179,3,0,170,6,3
1683570850.356856,Gulans Town,379,4,0,352,15,12
1683570850.3718312,Nogales Village,394,5,0,366,20,8
1683570850.3738332,Zeidel Borough,356,11,38,322,21,13
1683570850.4350111,Albono Hills,179,3,0,170,6,3
1683570850.4350111,Mackers City,571,10,0,527,32,12
1683570850.466995,Gulans Town,379,4,0,352,15,12
1683570850.4820101,Nogales Village,394,5,0,366,20,8
1683570850.4820101,Zeidel Borough,356,11,38,322,21,13
1683570850.5458062,Albono Hills,179,3,0,170,6,3
1683570850.547809,Mackers City,571,10,0,527,32,12
1683570850.5799966,Gulans Town,379,4,0,352,15,12
1683570850.5929856,Nogales Village,394,5,0,366,20,8
1683570850.5949728,Zeidel Borough,355,12,38,322,20,13
1683570850.6565702,Mackers City,571,10,0,527,32,12
1683570850.658481,Albono Hills,179,3,0,170,6,3
1683570850.687147,Gulans Town,379,4,0,352,15,12
1683570850.7011795,Nogales Village,394,5,0,366,20,8
1683570850.718266,Zeidel Borough,355,12,38,322,20,13
1683570850.7656045,Mackers City,571,10,0,527,32,12
1683570850.7796853,Albono Hills,177,5,0,168,6,3
1683570850.7967901,Gulans Town,379,4,0,352,15,12
1683570850.8107824,Nogales Village,394,5,0,366,20,8
1683570850.8277726,Zeidel Borough,355,12,38,322,20,13
1683570850.887172,Albono Hills,177,5,0,168,6,3
1683570850.8881702,Mackers City,570,11,0,526,32,12
1683570850.9174411,Gulans Town,379,4,0,352,15,12
1683570850.933444,Nogales Village,394,5,0,366,20,8
1683570850.9474316,Zeidel Borough,355,12,38,322,20,13
1683570851.0092268,Mackers City,569,12,0,525,32,12
1683570851.0102282,Albono Hills,177,5,0,168,6,3
1683570851.0252378,Gulans Town,379,4,0,352,15,12
1683570851.0422952,Nogales Village,394,5,0,366,20,8
1683570851.058421,Zeidel Borough,355,12,38,322,20,13
1683570851.119927,Albono Hills,177,5,0,168,6,3
1683570851.119927,Mackers City,568,13,0,524,32,12
1683570851.1360605,Gulans Town,379,4,0,352,15,12
1683570851.1502135,Nogales Village,394,5,0,366,20,8
1683570851.1662521,Zeidel Borough,355,12,38,322,20,13
1683570851.2443697,Mackers City,567,14,0,523,32,12
1683570851.2453678,Gulans Town,379,4,0,352,15,12
1683570851.2453678,Albono Hills,177,5,0,168,6,3
1683570851.2601922,Nogales Village,394,5,0,366,20,8
1683570851.2753155,Zeidel Borough,355,12,38,322,20,13
1683570851.3553977,Gulans Town,379,4,0,352,15,12
1683570851.3563917,Albono Hills,177,5,0,168,6,3
1683570851.3665838,Mackers City,567,14,0,523,32,12
1683570851.3726025,Nogales Village,394,5,0,366,20,8
1683570851.3866806,Zeidel Borough,355,12,38,322,20,13
1683570851.4800386,Mackers City,566,15,0,522,32,12
1683570851.4800386,Gulans Town,379,4,0,352,15,12
1683570851.4820614,Albono Hills,177,5,0,168,6,3
1683570851.4940383,Zeidel Borough,355,12,38,322,20,13
1683570851.4940383,Nogales Village,393,6,0,365,20,8
1683570851.589818,Mackers City,566,15,0,522,32,12
1683570851.6058285,Gulans Town,379,4,0,352,15,12
1683570851.6088278,Albono Hills,177,5,0,168,6,3
1683570851.6188173,Zeidel Borough,355,12,38,322,20,13
1683570851.6208222,Nogales Village,393,6,0,365,20,8
1683570851.711228,Mackers City,566,15,0,522,32,12
